	id	name	period	title	description	value	extract_date	period_extraction	year	day	id_tb_midias
126	18039366277634967	reach	lifetime	Contas alcançadas	O número de contas únicas que viram esta publicação pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações da sua publicação pelas mesmas contas. Essa métrica é estimada.	59	2024-05-20	05	2024	20	1803936627763496720240520reachlifetime
127	18039366277634967	saved	lifetime	Salvo	O número de vezes que sua publicação foi salva.	0	2024-05-20	05	2024	20	1803936627763496720240520savedlifetime
128	18034865689681990	taps_forward	lifetime	Toques para avançar	Número total de toques para ver a foto ou vídeo seguinte deste story	0	2024-05-20	05	2024	20	1803486568968199020240520taps_forwardlifetime
129	18034865689681990	taps_back	lifetime	Toques para voltar	Número total de toques para ver a foto ou o vídeo anterior deste story	0	2024-05-20	05	2024	20	1803486568968199020240520taps_backlifetime
130	18034865689681990	exits	lifetime	Saídas	Número de vezes que alguém saiu do story	0	2024-05-20	05	2024	20	1803486568968199020240520exitslifetime
131	18034865689681990	replies	lifetime	Respostas	Número total de respostas ao story	0	2024-05-20	05	2024	20	1803486568968199020240520replieslifetime
132	18034865689681990	engagement	lifetime	Engajamento	Número total de curtidas, comentários e salvamentos no objeto de mídia	7	2024-05-20	05	2024	20	1803486568968199020240520engagementlifetime
133	18034865689681990	video_views	lifetime	Visualizações de vídeo	Número total de vezes que o vídeo foi visto	0	2024-05-20	05	2024	20	1803486568968199020240520video_viewslifetime
134	18034865689681990	impressions	lifetime	Impressões	O número de vezes que a sua publicação foi exibida na tela.	46	2024-05-20	05	2024	20	1803486568968199020240520impressionslifetime
135	18034865689681990	reach	lifetime	Contas alcançadas	O número de contas únicas que viram esta publicação pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações da sua publicação pelas mesmas contas. Essa métrica é estimada.	42	2024-05-20	05	2024	20	1803486568968199020240520reachlifetime
136	18034865689681990	saved	lifetime	Salvo	O número de vezes que sua publicação foi salva.	0	2024-05-20	05	2024	20	1803486568968199020240520savedlifetime
137	18091892248364995	taps_forward	lifetime	Toques para avançar	Número total de toques para ver a foto ou vídeo seguinte deste story	0	2024-05-20	05	2024	20	1809189224836499520240520taps_forwardlifetime
