	id	id_midia	id_insight	extract_date	period_extraction	year	day	definicao	value
224	18005906753255379182024525	18005906753255379	18	2024-05-25	5	2024	25	taps_forward	0
225	18005906753255379172024525	18005906753255379	17	2024-05-25	5	2024	25	taps_back	0
226	1800590675325537972024525	18005906753255379	7	2024-05-25	5	2024	25	exits	0
227	18005906753255379152024525	18005906753255379	15	2024-05-25	5	2024	25	replies	0
228	1800590675325537962024525	18005906753255379	6	2024-05-25	5	2024	25	engagement	9
229	18005906753255379202024525	18005906753255379	20	2024-05-25	5	2024	25	video_views	0
230	18005906753255379102024525	18005906753255379	10	2024-05-25	5	2024	25	impressions	61
231	18005906753255379142024525	18005906753255379	14	2024-05-25	5	2024	25	reach	53
232	18005906753255379162024525	18005906753255379	16	2024-05-25	5	2024	25	saved	0
233	18041914348617681182024525	18041914348617681	18	2024-05-25	5	2024	25	taps_forward	0
234	18041914348617681172024525	18041914348617681	17	2024-05-25	5	2024	25	taps_back	0
235	1804191434861768172024525	18041914348617681	7	2024-05-25	5	2024	25	exits	0
236	18041914348617681152024525	18041914348617681	15	2024-05-25	5	2024	25	replies	0
237	1804191434861768162024525	18041914348617681	6	2024-05-25	5	2024	25	engagement	14
238	18041914348617681202024525	18041914348617681	20	2024-05-25	5	2024	25	video_views	0
239	18041914348617681102024525	18041914348617681	10	2024-05-25	5	2024	25	impressions	108
240	18041914348617681142024525	18041914348617681	14	2024-05-25	5	2024	25	reach	95
241	18041914348617681162024525	18041914348617681	16	2024-05-25	5	2024	25	saved	1
242	17998872359374643182024525	17998872359374643	18	2024-05-25	5	2024	25	taps_forward	0
243	17998872359374643172024525	17998872359374643	17	2024-05-25	5	2024	25	taps_back	0
244	1799887235937464372024525	17998872359374643	7	2024-05-25	5	2024	25	exits	0
245	17998872359374643152024525	17998872359374643	15	2024-05-25	5	2024	25	replies	0
246	1799887235937464362024525	17998872359374643	6	2024-05-25	5	2024	25	engagement	12
247	17998872359374643202024525	17998872359374643	20	2024-05-25	5	2024	25	video_views	0
248	17998872359374643102024525	17998872359374643	10	2024-05-25	5	2024	25	impressions	73
249	17998872359374643142024525	17998872359374643	14	2024-05-25	5	2024	25	reach	67
250	17998872359374643162024525	17998872359374643	16	2024-05-25	5	2024	25	saved	1
251	18011278775500459182024525	18011278775500459	18	2024-05-25	5	2024	25	taps_forward	0
252	18011278775500459172024525	18011278775500459	17	2024-05-25	5	2024	25	taps_back	0
253	1801127877550045972024525	18011278775500459	7	2024-05-25	5	2024	25	exits	0
254	18011278775500459152024525	18011278775500459	15	2024-05-25	5	2024	25	replies	0
255	1801127877550045962024525	18011278775500459	6	2024-05-25	5	2024	25	engagement	11
256	18011278775500459202024525	18011278775500459	20	2024-05-25	5	2024	25	video_views	0
257	18011278775500459102024525	18011278775500459	10	2024-05-25	5	2024	25	impressions	50
258	18011278775500459142024525	18011278775500459	14	2024-05-25	5	2024	25	reach	43
259	18011278775500459162024525	18011278775500459	16	2024-05-25	5	2024	25	saved	0
260	17983677587408251182024525	17983677587408251	18	2024-05-25	5	2024	25	taps_forward	0
261	17983677587408251172024525	17983677587408251	17	2024-05-25	5	2024	25	taps_back	0
262	1798367758740825172024525	17983677587408251	7	2024-05-25	5	2024	25	exits	0
263	17983677587408251152024525	17983677587408251	15	2024-05-25	5	2024	25	replies	0
264	1798367758740825162024525	17983677587408251	6	2024-05-25	5	2024	25	engagement	19
