	id_midia	name	period	title	description	id	value	extract_date	period_extraction	year	day	id_tb_midias
8	17892179540901363	saved	lifetime	Salvo	O número de vezes que sua publicação foi salva.	17892179540901363/insights/saved/lifetime	0.0	2024-05-25	05	2024	25	1789217954090136320240525savedlifetime
0	17953225589736051	taps_forward	lifetime	Toques para avançar	Número total de toques para ver a foto ou vídeo seguinte deste story	17953225589736051/insights/taps_forward/lifetime	0.0	2024-05-25	05	2024	25	1795322558973605120240525taps_forwardlifetime
1	17953225589736051	taps_back	lifetime	Toques para voltar	Número total de toques para ver a foto ou o vídeo anterior deste story	17953225589736051/insights/taps_back/lifetime	0.0	2024-05-25	05	2024	25	1795322558973605120240525taps_backlifetime
2	17953225589736051	exits	lifetime	Saídas	Número de vezes que alguém saiu do story	17953225589736051/insights/exits/lifetime	0.0	2024-05-25	05	2024	25	1795322558973605120240525exitslifetime
3	17953225589736051	replies	lifetime	Respostas	Número total de respostas ao story	17953225589736051/insights/replies/lifetime	0.0	2024-05-25	05	2024	25	1795322558973605120240525replieslifetime
4	17953225589736051	engagement	lifetime	Engajamento	Número total de curtidas, comentários e salvamentos no objeto de mídia	17953225589736051/insights/engagement/lifetime	14.0	2024-05-25	05	2024	25	1795322558973605120240525engagementlifetime
5	17953225589736051	video_views	lifetime	Visualizações de vídeo	Número total de vezes que o vídeo foi visto	17953225589736051/insights/video_views/lifetime	0.0	2024-05-25	05	2024	25	1795322558973605120240525video_viewslifetime
6	17953225589736051	impressions	lifetime	Impressões	O número de vezes que a sua publicação foi exibida na tela.	17953225589736051/insights/impressions/lifetime	102.0	2024-05-25	05	2024	25	1795322558973605120240525impressionslifetime
7	17953225589736051	reach	lifetime	Contas alcançadas	O número de contas únicas que viram esta publicação pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações da sua publicação pelas mesmas contas. Essa métrica é estimada.	17953225589736051/insights/reach/lifetime	92.0	2024-05-25	05	2024	25	1795322558973605120240525reachlifetime
8	17953225589736051	saved	lifetime	Salvo	O número de vezes que sua publicação foi salva.	17953225589736051/insights/saved/lifetime	2.0	2024-05-25	05	2024	25	1795322558973605120240525savedlifetime
0	18039366277634967	taps_forward	lifetime	Toques para avançar	Número total de toques para ver a foto ou vídeo seguinte deste story	18039366277634967/insights/taps_forward/lifetime	0.0	2024-05-25	05	2024	25	1803936627763496720240525taps_forwardlifetime
1	18039366277634967	taps_back	lifetime	Toques para voltar	Número total de toques para ver a foto ou o vídeo anterior deste story	18039366277634967/insights/taps_back/lifetime	0.0	2024-05-25	05	2024	25	1803936627763496720240525taps_backlifetime
2	18039366277634967	exits	lifetime	Saídas	Número de vezes que alguém saiu do story	18039366277634967/insights/exits/lifetime	0.0	2024-05-25	05	2024	25	1803936627763496720240525exitslifetime
3	18039366277634967	replies	lifetime	Respostas	Número total de respostas ao story	18039366277634967/insights/replies/lifetime	0.0	2024-05-25	05	2024	25	1803936627763496720240525replieslifetime
4	18039366277634967	engagement	lifetime	Engajamento	Número total de curtidas, comentários e salvamentos no objeto de mídia	18039366277634967/insights/engagement/lifetime	6.0	2024-05-25	05	2024	25	1803936627763496720240525engagementlifetime
5	18039366277634967	video_views	lifetime	Visualizações de vídeo	Número total de vezes que o vídeo foi visto	18039366277634967/insights/video_views/lifetime	0.0	2024-05-25	05	2024	25	1803936627763496720240525video_viewslifetime
6	18039366277634967	impressions	lifetime	Impressões	O número de vezes que a sua publicação foi exibida na tela.	18039366277634967/insights/impressions/lifetime	63.0	2024-05-25	05	2024	25	1803936627763496720240525impressionslifetime
